"Gene_symbol"	"   Genes"	"Freq"
"NPR1"	"natriuretic peptide receptor A/guanylate cyclase A (atrionatriuretic peptide receptor A)"	"12"
"CCR1"	"chemokine (C-C motif) receptor 1"	"11"
"GAPDH"	"glyceraldehyde-3-phosphate dehydrogenase"	"11"
"GK"	"glycerol kinase"	"11"
"IDE"	"insulin-degrading enzyme"	"11"
"MTHFR"	"methylenetetrahydrofolate reductase (NAD(P)H)"	"11"
"RAF1"	"v-raf-1 murine leukemia viral oncogene homolog 1"	"11"
"ACE"	"angiotensin I converting enzyme (peptidyl-dipeptidase A) 1"	"10"
"APRT"	"adenine phosphoribosyltransferase"	"10"
"CPE"	"carboxypeptidase E"	"10"
"EMP2"	"epithelial membrane protein 2"	"10"
"MIP"	"major intrinsic protein of lens fiber"	"10"
"MSC"	"musculin"	"10"
"TNF"	"tumor necrosis factor"	"10"
"TOX2"	"TOX high mobility group box family member 2"	"10"
"BET1"	"Bet1 golgi vesicular membrane trafficking protein"	"9"
"ENG"	"endoglin"	"9"
"LPL"	"lipoprotein lipase"	"9"
"MAP2"	"microtubule-associated protein 2"	"9"
"OTC"	"ornithine carbamoyltransferase"	"9"
"PLTP"	"phospholipid transfer protein"	"9"
"POT1"	"protection of telomeres 1"	"9"
"SMO"	"smoothened, frizzled family receptor"	"9"
"SRC"	"v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian)"	"9"
"SSRP1"	"structure specific recognition protein 1"	"9"
"FAH"	"fumarylacetoacetate hydrolase (fumarylacetoacetase)"	"8"
"GIP"	"gastric inhibitory polypeptide"	"8"
"HMGA2"	"high mobility group AT-hook 2"	"8"
"NCS1"	"neuronal calcium sensor 1"	"8"
"RPS2"	"ribosomal protein S2"	"8"
"SCD"	"stearoyl-CoA desaturase (delta-9-desaturase)"	"8"
"ADA"	"adenosine deaminase"	"7"
"CHM"	"choroideremia (Rab escort protein 1)"	"7"
"CPO"	"carboxypeptidase O"	"7"
"DDC"	"dopa decarboxylase (aromatic L-amino acid decarboxylase)"	"7"
"EMB"	"embigin"	"7"
"FAS"	"Fas (TNF receptor superfamily, member 6)"	"7"
"GBP1"	"guanylate binding protein 1, interferon-inducible"	"7"
"KY"	"kyphoscoliosis peptidase"	"7"
"LTB"	"lymphotoxin beta (TNF superfamily, member 3)"	"7"
"POR"	"P450 (cytochrome) oxidoreductase"	"7"
"RPL5"	"ribosomal protein L5"	"7"
"RPL10"	"ribosomal protein L10"	"7"
"RPS6"	"ribosomal protein S6"	"7"
"RPS14"	"ribosomal protein S14"	"7"
"RS1"	"retinoschisin 1"	"7"
"STS"	"steroid sulfatase (microsomal), isozyme S"	"7"
"TRD"	"T cell receptor delta locus"	"7"
"ABI1"	"abl-interactor 1"	"6"
"AIP"	"aryl hydrocarbon receptor interacting protein"	"6"
"ALDH2"	"aldehyde dehydrogenase 2 family (mitochondrial)"	"6"
"ATM"	"ataxia telangiectasia mutated"	"6"
"C6"	"complement component 6"	"6"
"CA1"	"carbonic anhydrase I"	"6"
"CAP1"	"CAP, adenylate cyclase-associated protein 1 (yeast)"	"6"
"CBL"	"Cbl proto-oncogene, E3 ubiquitin protein ligase"	"6"
"CIT"	"citron (rho-interacting, serine/threonine kinase 21)"	"6"
"CYP1B1"	"cytochrome P450, family 1, subfamily B, polypeptide 1"	"6"
"CYP2E1"	"cytochrome P450, family 2, subfamily E, polypeptide 1"	"6"
"DNAJA1"	"DnaJ (Hsp40) homolog, subfamily A, member 1"	"6"
"GBF1"	"golgi brefeldin A resistant guanine nucleotide exchange factor 1"	"6"
"GPT"	"glutamic-pyruvate transaminase (alanine aminotransferase)"	"6"
"HDAC4"	"histone deacetylase 4"	"6"
"MSH2"	"mutS homolog 2, colon cancer, nonpolyposis type 1 (E. coli)"	"6"
"MSH6"	"mutS homolog 6 (E. coli)"	"6"
"NDC80"	"NDC80 kinetochore complex component"	"6"
"ORC4"	"origin recognition complex, subunit 4"	"6"
"RPL3"	"ribosomal protein L3"	"6"
"SSB"	"Sjogren syndrome antigen B (autoantigen La)"	"6"
"TULP1"	"tubby like protein 1"	"6"
"ABCG5"	"ATP-binding cassette, sub-family G (WHITE), member 5"	"5"
"ACR"	"acrosin"	"5"
"BRK1"	"BRICK1, SCAR/WAVE actin-nucleating complex subunit"	"5"
"CER1"	"cerberus 1, DAN family BMP antagonist"	"5"
"CTRL"	"chymotrypsin-like"	"5"
"DMD"	"dystrophin"	"5"
"E2F1"	"E2F transcription factor 1"	"5"
"F7"	"coagulation factor VII (serum prothrombin conversion accelerator)"	"5"
"GSC"	"goosecoid homeobox"	"5"
"HMGA1"	"high mobility group AT-hook 1"	"5"
"HMGB4"	"high mobility group box 4"	"5"
"IGL"	"immunoglobulin lambda locus"	"5"
"LAT2"	"linker for activation of T cells family, member 2"	"5"
"LCT"	"lactase"	"5"
"MYC"	"v-myc myelocytomatosis viral oncogene homolog (avian)"	"5"
"NMS"	"neuromedin S"	"5"
"OMD"	"osteomodulin"	"5"
"PTH"	"parathyroid hormone"	"5"
"RPS15"	"ribosomal protein S15"	"5"
"TEF"	"thyrotrophic embryonic factor"	"5"
"TPR"	"translocated promoter region, nuclear basket protein"	"5"
"TULP2"	"tubby like protein 2"	"5"
"TULP3"	"tubby like protein 3"	"5"
"TYMP"	"thymidine phosphorylase"	"5"
"ABCB1"	"ATP-binding cassette, sub-family B (MDR/TAP), member 1"	"4"
"ABCG8"	"ATP-binding cassette, sub-family G (WHITE), member 8"	"4"
"AFM"	"afamin"	"4"
"ARF1"	"ADP-ribosylation factor 1"	"4"
"CA2"	"carbonic anhydrase II"	"4"
"CCR6"	"chemokine (C-C motif) receptor 6"	"4"
"CGB1"	"chorionic gonadotropin, beta polypeptide 1"	"4"
"CNR1"	"cannabinoid receptor 1 (brain)"	"4"
"CPS1"	"carbamoyl-phosphate synthase 1, mitochondrial"	"4"
"CYP2A6"	"cytochrome P450, family 2, subfamily A, polypeptide 6"	"4"
"FOS"	"FBJ murine osteosarcoma viral oncogene homolog"	"4"
"GAD1"	"glutamate decarboxylase 1 (brain, 67kDa)"	"4"
"GDA"	"guanine deaminase"	"4"
"HIRA"	"HIR histone cell cycle regulation defective homolog A (S. cerevisiae)"	"4"
"LIF"	"leukemia inhibitory factor"	"4"
"MB"	"myoglobin"	"4"
"MCAT"	"malonyl CoA:ACP acyltransferase (mitochondrial)"	"4"
"MCM6"	"minichromosome maintenance complex component 6"	"4"
"MLH1"	"mutL homolog 1, colon cancer, nonpolyposis type 2 (E. coli)"	"4"
"MOS"	"v-mos Moloney murine sarcoma viral oncogene homolog"	"4"
"NEB"	"nebulin"	"4"
"NKD2"	"naked cuticle homolog 2 (Drosophila)"	"4"
"PPBP"	"pro-platelet basic protein (chemokine (C-X-C motif) ligand 7)"	"4"
"PYY"	"peptide YY"	"4"
"RAB18"	"RAB18, member RAS oncogene family"	"4"
"RGP1"	"RGP1 retrograde golgi transport homolog (S. cerevisiae)"	"4"
"RPL10A"	"ribosomal protein L10a"	"4"
"RPL27"	"ribosomal protein L27"	"4"
"SKP1"	"S-phase kinase-associated protein 1"	"4"
"TAT"	"tyrosine aminotransferase"	"4"
"TKT"	"transketolase"	"4"
"TLR2"	"toll-like receptor 2"	"4"
"TTI2"	"TELO2 interacting protein 2"	"4"
"TUB"	"tubby homolog (mouse)"	"4"
"WDR1"	"WD repeat domain 1"	"4"
"ADM"	"adrenomedullin"	"3"
"APC"	"adenomatous polyposis coli"	"3"
"AQP1"	"aquaporin 1 (Colton blood group)"	"3"
"ARF3"	"ADP-ribosylation factor 3"	"3"
"CCR7"	"chemokine (C-C motif) receptor 7"	"3"
"CD2"	"CD2 molecule"	"3"
"CRP"	"C-reactive protein, pentraxin-related"	"3"
"CTGF"	"connective tissue growth factor"	"3"
"CXCR4"	"chemokine (C-X-C motif) receptor 4"	"3"
"DBP"	"D site of albumin promoter (albumin D-box) binding protein"	"3"
"DEC1"	"deleted in esophageal cancer 1"	"3"
"DGAT2"	"diacylglycerol O-acyltransferase 2"	"3"
"DHFR"	"dihydrofolate reductase"	"3"
"DOHH"	"deoxyhypusine hydroxylase/monooxygenase"	"3"
"DST"	"dystonin"	"3"
"FASN"	"fatty acid synthase"	"3"
"GAD2"	"glutamate decarboxylase 2 (pancreatic islets and brain, 65kDa)"	"3"
"GSS"	"glutathione synthetase"	"3"
"GSTA1"	"glutathione S-transferase alpha 1"	"3"
"IL2"	"interleukin 2"	"3"
"MBP"	"myelin basic protein"	"3"
"MLN"	"motilin"	"3"
"NKD1"	"naked cuticle homolog 1 (Drosophila)"	"3"
"PGP"	"phosphoglycolate phosphatase"	"3"
"PLAC8"	"placenta-specific 8"	"3"
"PNP"	"purine nucleoside phosphorylase"	"3"
"PPT1"	"palmitoyl-protein thioesterase 1"	"3"
"RFT1"	"RFT1 homolog (S. cerevisiae)"	"3"
"RGR"	"retinal G protein coupled receptor"	"3"
"S100A2"	"S100 calcium binding protein A2"	"3"
"SAG"	"S-antigen; retina and pineal gland (arrestin)"	"3"
"SOS1"	"son of sevenless homolog 1 (Drosophila)"	"3"
"SP6"	"Sp6 transcription factor"	"3"
"SPR"	"sepiapterin reductase (7,8-dihydrobiopterin:NADP+ oxidoreductase)"	"3"
"TTC1"	"tetratricopeptide repeat domain 1"	"3"
"YAP1"	"Yes-associated protein 1"	"3"
"YY1"	"YY1 transcription factor"	"3"
"ZRSR2"	"zinc finger (CCCH type), RNA-binding motif and serine/arginine rich 2"	"3"
"ABI2"	"abl-interactor 2"	"2"
"ACD"	"adrenocortical dysplasia homolog (mouse)"	"2"
"ADD1"	"adducin 1 (alpha)"	"2"
"AEN"	"apoptosis enhancing nuclease"	"2"
"AGA"	"aspartylglucosaminidase"	"2"
"AGO2"	"argonaute RISC catalytic component 2"	"2"
"AOX1"	"aldehyde oxidase 1"	"2"
"APP"	"amyloid beta (A4) precursor protein"	"2"
"ATR"	"ataxia telangiectasia and Rad3 related"	"2"
"CBS"	"cystathionine-beta-synthase"	"2"
"CGA"	"glycoprotein hormones, alpha polypeptide"	"2"
"CLC"	"Charcot-Leyden crystal protein"	"2"
"CLOCK"	"clock circadian regulator"	"2"
"CLPP"	"ClpP caseinolytic peptidase, ATP-dependent, proteolytic subunit homolog (E. coli)"	"2"
"CNR2"	"cannabinoid receptor 2 (macrophage)"	"2"
"CRH"	"corticotropin releasing hormone"	"2"
"CYP1A1"	"cytochrome P450, family 1, subfamily A, polypeptide 1"	"2"
"DDT"	"D-dopachrome tautomerase"	"2"
"DNMT3A"	"DNA (cytosine-5-)-methyltransferase 3 alpha"	"2"
"DSP"	"desmoplakin"	"2"
"ENO1"	"enolase 1, (alpha)"	"2"
"FER"	"fer (fps/fes related) tyrosine kinase"	"2"
"FH"	"fumarate hydratase"	"2"
"G6PD"	"glucose-6-phosphate dehydrogenase"	"2"
"GATC"	"glutamyl-tRNA(Gln) amidotransferase, subunit C"	"2"
"GLA"	"galactosidase, alpha"	"2"
"GPI"	"glucose-6-phosphate isomerase"	"2"
"GRN"	"granulin"	"2"
"HPD"	"4-hydroxyphenylpyruvate dioxygenase"	"2"
"IDS"	"iduronate 2-sulfatase"	"2"
"IL1B"	"interleukin 1, beta"	"2"
"IRGM"	"immunity-related GTPase family, M"	"2"
"LAT"	"linker for activation of T cells"	"2"
"LIG1"	"ligase I, DNA, ATP-dependent"	"2"
"LPP"	"LIM domain containing preferred translocation partner in lipoma"	"2"
"LRP1"	"low density lipoprotein receptor-related protein 1"	"2"
"MAG"	"myelin associated glycoprotein"	"2"
"MAL"	"mal, T-cell differentiation protein"	"2"
"MBD5"	"methyl-CpG binding domain protein 5"	"2"
"MCM3"	"minichromosome maintenance complex component 3"	"2"
"MDM2"	"MDM2 oncogene, E3 ubiquitin protein ligase"	"2"
"MGP"	"matrix Gla protein"	"2"
"MPO"	"myeloperoxidase"	"2"
"NADK"	"NAD kinase"	"2"
"NEMF"	"nuclear export mediator factor"	"2"
"NPS"	"neuropeptide S"	"2"
"ORC2"	"origin recognition complex, subunit 2"	"2"
"PAM"	"peptidylglycine alpha-amidating monooxygenase"	"2"
"PDK2"	"pyruvate dehydrogenase kinase, isozyme 2"	"2"
"PER1"	"period circadian clock 1"	"2"
"PGR"	"progesterone receptor"	"2"
"PIGS"	"phosphatidylinositol glycan anchor biosynthesis, class S"	"2"
"PML"	"promyelocytic leukemia"	"2"
"PROC"	"protein C (inactivator of coagulation factors Va and VIIIa)"	"2"
"PSD"	"pleckstrin and Sec7 domain containing"	"2"
"PTS"	"6-pyruvoyltetrahydropterin synthase"	"2"
"RAB17"	"RAB17, member RAS oncogene family"	"2"
"RAD50"	"RAD50 homolog (S. cerevisiae)"	"2"
"ROS1"	"c-ros oncogene 1 , receptor tyrosine kinase"	"2"
"RPL32"	"ribosomal protein L32"	"2"
"RPS3"	"ribosomal protein S3"	"2"
"RPS9"	"ribosomal protein S9"	"2"
"SF1"	"splicing factor 1"	"2"
"SHF"	"Src homology 2 domain containing F"	"2"
"SIRT3"	"sirtuin 3"	"2"
"SP1"	"Sp1 transcription factor"	"2"
"SRR"	"serine racemase"	"2"
"SST"	"somatostatin"	"2"
"STAR"	"steroidogenic acute regulatory protein"	"2"
"STC1"	"stanniocalcin 1"	"2"
"SUN2"	"Sad1 and UNC84 domain containing 2"	"2"
"TOM1"	"target of myb1 (chicken)"	"2"
"TTI1"	"TELO2 interacting protein 1"	"2"
"UCP1"	"uncoupling protein 1 (mitochondrial, proton carrier)"	"2"
"WAS"	"Wiskott-Aldrich syndrome"	"2"
"WLS"	"wntless homolog (Drosophila)"	"2"
"XG"	"Xg blood group"	"2"
"ZAR1"	"zygote arrest 1"	"2"
"ACACA"	"acetyl-CoA carboxylase alpha"	"1"
"ACO1"	"aconitase 1, soluble"	"1"
"ADK"	"adenosine kinase"	"1"
"AGO1"	"argonaute RISC catalytic component 1"	"1"
"AKT1"	"v-akt murine thymoma viral oncogene homolog 1"	"1"
"AKT3"	"v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)"	"1"
"ALB"	"albumin"	"1"
"ALS2"	"amyotrophic lateral sclerosis 2 (juvenile)"	"1"
"AMD1"	"adenosylmethionine decarboxylase 1"	"1"
"ATG5"	"autophagy related 5"	"1"
"ATG12"	"autophagy related 12"	"1"
"BCR"	"breakpoint cluster region"	"1"
"BID"	"BH3 interacting domain death agonist"	"1"
"BOK"	"BCL2-related ovarian killer"	"1"
"BSG"	"basigin (Ok blood group)"	"1"
"BSX"	"brain-specific homeobox"	"1"
"CARS"	"cysteinyl-tRNA synthetase"	"1"
"CCR2"	"chemokine (C-C motif) receptor 2"	"1"
"CCR3"	"chemokine (C-C motif) receptor 3"	"1"
"CCR4"	"chemokine (C-C motif) receptor 4"	"1"
"CD4"	"CD4 molecule"	"1"
"CD68"	"CD68 molecule"	"1"
"CDA"	"cytidine deaminase"	"1"
"CDK4"	"cyclin-dependent kinase 4"	"1"
"CDK6"	"cyclin-dependent kinase 6"	"1"
"CENPE"	"centromere protein E, 312kDa"	"1"
"CENPF"	"centromere protein F, 350/400kDa"	"1"
"CRHR1"	"corticotropin releasing hormone receptor 1"	"1"
"CRK"	"v-crk sarcoma virus CT10 oncogene homolog (avian)"	"1"
"CRY1"	"cryptochrome 1 (photolyase-like)"	"1"
"CTU1"	"cytosolic thiouridylase subunit 1 homolog (S. pombe)"	"1"
"CTU2"	"cytosolic thiouridylase subunit 2 homolog (S. pombe)"	"1"
"CXCL1"	"chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)"	"1"
"CXCR2"	"chemokine (C-X-C motif) receptor 2"	"1"
"CYP1A2"	"cytochrome P450, family 1, subfamily A, polypeptide 2"	"1"
"CYP7A1"	"cytochrome P450, family 7, subfamily A, polypeptide 1"	"1"
"CYP8B1"	"cytochrome P450, family 8, subfamily B, polypeptide 1"	"1"
"CYP27A1"	"cytochrome P450, family 27, subfamily A, polypeptide 1"	"1"
"DBI"	"diazepam binding inhibitor (GABA receptor modulator, acyl-CoA binding protein)"	"1"
"DES"	"desmin"	"1"
"DGAT1"	"diacylglycerol O-acyltransferase 1"	"1"
"DNMT1"	"DNA (cytosine-5-)-methyltransferase 1"	"1"
"DNMT3B"	"DNA (cytosine-5-)-methyltransferase 3 beta"	"1"
"DPP9"	"dipeptidyl-peptidase 9"	"1"
"DSC1"	"desmocollin 1"	"1"
"EGF"	"epidermal growth factor"	"1"
"ENO2"	"enolase 2 (gamma, neuronal)"	"1"
"EPB42"	"erythrocyte membrane protein band 4.2"	"1"
"F5"	"coagulation factor V (proaccelerin, labile factor)"	"1"
"FAM20C"	"family with sequence similarity 20, member C"	"1"
"FGL1"	"fibrinogen-like 1"	"1"
"FIS1"	"fission 1 (mitochondrial outer membrane) homolog (S. cerevisiae)"	"1"
"FST"	"follistatin"	"1"
"GCG"	"glucagon"	"1"
"GEM"	"GTP binding protein overexpressed in skeletal muscle"	"1"
"GH1"	"growth hormone 1"	"1"
"GLS"	"glutaminase"	"1"
"GRP"	"gastrin-releasing peptide"	"1"
"GSR"	"glutathione reductase"	"1"
"GSTA2"	"glutathione S-transferase alpha 2"	"1"
"GSTA3"	"glutathione S-transferase alpha 3"	"1"
"GSTA4"	"glutathione S-transferase alpha 4"	"1"
"HBM"	"hemoglobin, mu"	"1"
"HSBP1"	"heat shock factor binding protein 1"	"1"
"IL3"	"interleukin 3 (colony-stimulating factor, multiple)"	"1"
"INA"	"internexin neuronal intermediate filament protein, alpha"	"1"
"ISG15"	"ISG15 ubiquitin-like modifier"	"1"
"KDM5B"	"lysine (K)-specific demethylase 5B"	"1"
"KDM5C"	"lysine (K)-specific demethylase 5C"	"1"
"LAMP1"	"lysosomal-associated membrane protein 1"	"1"
"LBP"	"lipopolysaccharide binding protein"	"1"
"LEP"	"leptin"	"1"
"LPA"	"lipoprotein, Lp(a)"	"1"
"LPO"	"lactoperoxidase"	"1"
"LSS"	"lanosterol synthase (2,3-oxidosqualene-lanosterol cyclase)"	"1"
"LTK"	"leukocyte receptor tyrosine kinase"	"1"
"MAF"	"v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)"	"1"
"MAK"	"male germ cell-associated kinase"	"1"
"MED4"	"mediator complex subunit 4"	"1"
"MET"	"met proto-oncogene (hepatocyte growth factor receptor)"	"1"
"MN1"	"meningioma (disrupted in balanced translocation) 1"	"1"
"MPL"	"myeloproliferative leukemia virus oncogene"	"1"
"MSI1"	"musashi RNA-binding protein 1"	"1"
"MST1"	"macrophage stimulating 1 (hepatocyte growth factor-like)"	"1"
"NHS"	"Nance-Horan syndrome (congenital cataracts and dental anomalies)"	"1"
"NPY"	"neuropeptide Y"	"1"
"NRF1"	"nuclear respiratory factor 1"	"1"
"NTS"	"neurotensin"	"1"
"ORC1"	"origin recognition complex, subunit 1"	"1"
"PDK1"	"pyruvate dehydrogenase kinase, isozyme 1"	"1"
"PER2"	"period circadian clock 2"	"1"
"PERP"	"PERP, TP53 apoptosis effector"	"1"
"PGK1"	"phosphoglycerate kinase 1"	"1"
"PGM1"	"phosphoglucomutase 1"	"1"
"PGM2"	"phosphoglucomutase 2"	"1"
"PLAT"	"plasminogen activator, tissue"	"1"
"PTEN"	"phosphatase and tensin homolog"	"1"
"QTRT1"	"queuine tRNA-ribosyltransferase 1"	"1"
"RAB15"	"RAB15, member RAS oncogene family"	"1"
"RAB21"	"RAB21, member RAS oncogene family"	"1"
"RAB28"	"RAB28, member RAS oncogene family"	"1"
"RAC1"	"ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)"	"1"
"RBM3"	"RNA binding motif (RNP1, RRM) protein 3"	"1"
"REC8"	"REC8 homolog (yeast)"	"1"
"RHO"	"rhodopsin"	"1"
"RPL7"	"ribosomal protein L7"	"1"
"RPL13"	"ribosomal protein L13"	"1"
"RPS17"	"ribosomal protein S17"	"1"
"SAT2"	"spermidine/spermine N1-acetyltransferase family member 2"	"1"
"SOD2"	"superoxide dismutase 2, mitochondrial"	"1"
"SP3"	"Sp3 transcription factor"	"1"
"SP100"	"SP100 nuclear antigen"	"1"
"SVOP"	"SV2 related protein homolog (rat)"	"1"
"TAC1"	"tachykinin, precursor 1"	"1"
"TLR5"	"toll-like receptor 5"	"1"
"TNC"	"tenascin C"	"1"
"TSC1"	"tuberous sclerosis 1"	"1"
"U2AF2"	"U2 small nuclear RNA auxiliary factor 2"	"1"
"UPF1"	"UPF1 regulator of nonsense transcripts homolog (yeast)"	"1"
"VHL"	"von Hippel-Lindau tumor suppressor, E3 ubiquitin protein ligase"	"1"
"VIP"	"vasoactive intestinal peptide"	"1"
"WEE1"	"WEE1 homolog (S. pombe)"	"1"
"XCL1"	"chemokine (C motif) ligand 1"	"1"
"XDH"	"xanthine dehydrogenase"	"1"
"XIAP"	"X-linked inhibitor of apoptosis"	"1"
"XPC"	"xeroderma pigmentosum, complementation group C"	"1"
