FRAMEID	COMMONNAME	SMILES	INCHI	CLASS?
HYDROXYMALONATE	2-hydroxymalonate	C[O-]OCOC[O-]O	InChI1S/C3H4O5/c4-1256378/h14HH56H78/p-2	false
CPD-7279	2-<i>cis</i>4-<i>trans</i>-xanthoxin	CCCCC12CCCCC1CO2OCCCCO	InChI1S/C15H22O3/c1-116-8-165-7-15-13239-121710-1415418-15/h5-81217H9-10H21-4H3/b7-5+11-6-/t12-14-15-/m0/s1	false
RB+	Rb<SUP>+</SUP>	[Rb+]	InChI1S/Rb/q+1	false
PELARGONIDIN-3-GLUCOSIDE-CMPD	pelargonidin-3-<i>O</i>-&beta;-D-glucoside	COC1COCOCOCO1OC3CC4C[O+]CC2CCCOCC23CCCC[O-]4[O-]	InChI1S/C21H20O10/c22-8-16-1726182719282131-1630-15-7-12-13255-11246-141229-20159-1-3-10234-2-9/h1-716-1921-2226-28H8H2H2-232425/p-1/t16-17-18+19-21-/m1/s1	false
HYPOTAURINE	hypotaurine	C[N+]CS[O-]O	InChI1S/C2H7NO2S/c3-1-2-645/h1-3H2H45	false
CPD-7035	2-phenylethanol	C1CCCCCOCC1	InChI1S/C8H10O/c9-7-6-8-4-2-1-3-5-8/h1-59H6-7H2	false
CPD-13453	neo-&lambda;-carrabiose	COC1OCOCOSOO[O-]CCO1OC2OCCOSO[O-]OCOCOCOSOO[O-]2	InChI1S/C12H22O20S3/c13-1-3-615810111728-332-3524252630-12-931-34212223716514429-122-27-33181920/h3-17H1-2H2H181920H212223H242526/p-3/t3-4-5+6+7+8+9-10-11-12-/m1/s1	false
CPD-9875	coniferyl acetate	CCOCCCC1CCCCC1OOCO	InChI1S/C12H14O4/c1-91316-7-3-4-10-5-6-1114128-1015-2/h3-6814H7H21-2H3/b4-3+	false
CPD-12449	4-dihydrocoumaroyl-CoA	CCCCOCONCCCONCCSCOCCC1CCCOCC1COPOOPOOCC2COP[O-]O[O-]COCO2N4C3CCNNCN3NC4[O-][O-]	InChI1S/C30H44N7O18P3S/c1-3022542284333-10-9-203932-11-12-59-21408-5-17-3-6-18387-4-1714-52-58495055-57474851-13-19-2454-5644454623412953-1937-16-36-22-263134-15-35-272237/h3-46-715-161923-25293841-42H58-14H21-2H3H3239H3343H4748H4950H2313435H2444546/p-4/t19-23-24-25+29-/m1/s1	false
CPD-13913	2-carboxy-L-xylonolactone	COC1OCOCOCO[O-]CO1	InChI1S/C6H8O7/c7-1-2-38612491051113-2/h2-37-812H1H2H910/p-1	false
SINAPYL-ALCOHOL	sinapyl alcohol	COC1CCCCCOCCOCCO1	InChI1S/C11H14O4/c1-14-9-6-84-3-5-127-1015-211913/h3-46-712-13H5H21-2H3/b4-3+	false
CPD-17623	18-oxo-oleoyl-CoA	CCCCOCONCCCONCCSCOCCCCCCCCCCCCCCCC[CH]OCOPOOPOOCC1COP[O-]O[O-]COCO1N3C2CCNNCN2NC3[O-][O-]	InChI1S/C39H66N7O18P3S/c1-3923451375242-20-19-294841-21-23-68-304918-16-14-12-10-8-6-4-3-5-7-9-11-13-15-17-22-4725-61-67585964-66565760-24-28-3363-6553545532503862-2846-27-45-31-354043-26-44-363146/h3-42226-2832-343850-51H5-2123-25H21-2H3H4148H4252H5657H5859H2404344H2535455/p-4/b4-3-/t28-32-33-34+38-/m1/s1	false
CPD-12919	4&alpha;-carboxy4&beta;14&alpha;-dimethyl-9&beta;19-cyclo-5&alpha;-cholest-24-en-3&beta;-ol	CCCCCCCC[CH]3CCC4C[CH]1CC[CH]5CC[O-]OCCOCCC2CC12CCCC345	InChI1S/C30H48O3/c1-1928-7-9-20321-12-14-27522-10-11-23-286253233243113-15-292318-30222917-16-2621274/h820-2431H79-18H21-6H3H3233/p-1/t20-21-22+23+24+26-27+28+29?30?/m1/s1	false
CPD-9518	5S6S-6-amino-5-hydroxycyclohexa-13-diene-1-carboxylate	C[O-]OC1C[N+]COCCC1	InChI1S/C7H9NO3/c8-6-4710112-1-3-569/h1-35-69H8H2H1011/t5-6-/m0/s1	false
REDUCED-MENAQUINONE	menaquinol-<i>8</i>	CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC2CCCOC1CCCCC1CO2	InChI1S/C51H74O2/c1-38220-13-21-39322-14-23-40424-15-25-41526-16-27-42628-17-29-43730-18-31-44832-19-33-45936-37-47-4610505248-34-11-12-35-4948514753/h11-122022242628303234-3652-53H13-192123252729313337H21-10H3/b39-22+40-24+41-26+42-28+43-30+44-32+45-36+	false
CPD-15382	<i>keto</i>-D-fructose	COCOCOCOCOCO	InChI1S/C6H12O6/c7-1-395116124102-8/h35-911-12H1-2H2/t3-5-6-/m1/s1	false
FRUCTOSE-16-DIPHOSPHATE	fructose 16-bisphosphate	CC1CCCO1COPO[O-][O-]OOOOP[O-]O[O-]	InChI1S/C6H14O12P2/c7-4-31-16-1910111218-695482-17-20131415/h3-57-9H1-2H2H2101112H2131415/p-4/t3-4-5+6-/m1/s1	false
CPD-16614	oryzalexin C	CCC2CC[CH]3C1CCCCCC[CH]1CCOCC23OCC	InChI1S/C20H28O2/c1-6-1949-7-14-1312-19152111-16-182317228-10-2014165/h6121416H17-11H22-5H3/t14-16-19-20+/m1/s1	false
CPD-510	&alpha;-D-glucuronate 1-phosphate	CC1OCCCC1OOOOP[O-][O-]O[O-]O	InChI1S/C6H11O10P/c7-1-2845101115-631916-17121314/h1-46-9HH1011H2121314/p-3/t1-2-3+4-6+/m0/s1	false
S-N-METHYLCOCLAURINE	<i>S</i>-<i>N</i>-methylcoclaurine	C1[N+]CC2CC1CCCC2OOCCC3CCCCC3OC	InChI1S/C18H21NO3/c1-19-8-7-13-10-1822-2172111-151316199-12-3-5-14206-4-12/h3-610-111620-21H7-9H21-2H3/p+1/t16-/m0/s1	false
CPD-7842	cyanidin 3-<i>O</i>-sophoroside	COC1COCOCOCO1OC2COCOCCOOC2OC4CC3CCCOCOC3[O+]C5CC4C[O-]CCOC5	InChI1S/C27H30O16/c28-7-17-1934213623382641-1743-25-22372035188-2942-272540-16-6-11-13324-10305-151139-24169-1-2-123114333-9/h1-617-2325-2934-38H7-8H2H3-30313233/t17-18-19-20-21+22+23-25-26+27?/m1/s1	false
|B-DGAL-HEX-1:5|	b-dgal-HEX-1:5	null	null	false
BIOTIN	biotin	C1SCCCCCCO[O-][CH]2NCON[CH]12	InChI1S/C10H16N2O3S/c13-8144-2-1-3-7-9-65-16-711-101512-9/h6-79H1-5H2H1314H2111215/p-1/t6-7-9-/m0/s1	false
CPD-13907	dehydroascorbatebicyclic form	C2OO[CH]1COOCCO1COO2	InChI1S/C6H8O7/c7-2-1-12-6113213-4856910/h2-379-11H1H2/t2-3+6-/m0/s1	false
CPD-14826	22-hydroxy-docosanoyl-CoA	CCCCOCONCCCONCCSCOCCCCCCCCCCCCCCCCCCCCCOCOPOOPOOCC1COP[O-]O[O-]COCO1N3C2CCNNCN2NC3[O-][O-]	InChI1S/C43H78N7O18P3S/c1-43229-65-71626368-70606164-28-32-3767-6957585936544266-3250-31-49-35-394447-30-48-4035503855415646-24-23-335245-25-27-72-345322-20-18-16-14-12-10-8-6-4-3-5-7-9-11-13-15-17-19-21-26-51/h30-3236-38425154-55H3-29H21-2H3H4552H4656H6061H6263H2444748H2575859/p-4/t32-36-37-38+42-/m1/s1	false
PHYTOALEXIN-CMPD	psoralen	C3C2CC1COCC1CC2OCC3O	InChI1S/C11H6O3/c12-11-2-1-7-5-8-3-4-13-986-10714-11/h1-6H	false
CPD-15913	aurachin C epoxide	CCCCCCCCCCCCCCCC12OCC1NC3CCCCCC2O3O	InChI1S/C25H33NO3/c1-18210-8-11-19312-9-13-20416-17-25-232721-14-6-7-15-222126282425529-25/h6-7101214-1628H8-9111317H21-5H3/b19-12+20-16+	false
CPD0-1108	&beta;-D-ribofuranose	CC1COCOCOO1O	InChI1S/C5H10O5/c6-1-2-37485910-2/h2-9H1H2/t2-3-4-5-/m1/s1	false
THYMIDINE	thymidine	CC1CNCONCO1C2CCOCCOO2	InChI1S/C10H14N2O5/c1-5-3-12101611-95158-2-61474-1317-8/h36-813-14H24H21H3H111516/t6-7+8+/m0/s1	false
CPD-13469	&alpha;-D-glucosamine 6-phosphate	COP[O-]O[O-]C1OCOC[N+]COCO1	InChI1S/C6H14NO8P/c7-3-5948215-63101-14-16111213/h2-68-10H17H2H2111213/p-1/t2-3-4-5-6+/m1/s1	false
DIAMINONONANOATE	78-diaminopelargonate	CCCCCCCCC[O-]O[N+][N+]	InChI1S/C9H20N2O2/c1-7108115-3-2-4-6-91213/h7-8H2-610-11H21H3H1213/p+1	false
GIBBERELLIN	gibberellin A<sub>3</sub>	CC1C3OCC4C1C[CH]5C2COOCCCCO2[CH]CC345CC[O-]O	InChI1S/C19H22O6/c1-9-7-17-8-189245-3-101719-6-4-1120162152325-1913191217142122/h4610-132024H1357-8H22H3H2122/p-1/t10-11+12-13-16+17+18+19-/m1/s1	false
CPD-9304	<i>E</i>1-propenylsulfenate	CCCSO	InChI1S/C3H6OS/c1-2-3-5-4/h2-4H1H3/b3-2+	false
CPD-8997	3S-linalool	CCCCCCCCCOC	InChI1S/C10H18O/c1-5-104118-6-7-923/h5711H168H22-4H3/t10-/m1/s1	false
CPD-8120	di-homo-&gamma;-linolenate	CCCCCCCCCCCCCCCCCCCCO[O-]	InChI1S/C20H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-202122/h6-79-1012-13H2-581114-19H21H3H2122/p-1/b7-6-10-9-13-12-	false
IMIDAZOLE-RING	1<i>H</i>-imidazole	C1NCNC1	InChI1S/C3H4N2/c1-2-5-3-4-1/h1-3HH45	false
CPD-8943	p-coumaroyltyramine	CNCCCC1CCCCC1OOCC2CCCOCC2	InChI1S/C17H17NO3/c19-15-6-1-132-7-155-10-172118-12-11-14-3-8-16209-4-14/h1-1019-20H11-12H2H1821/b10-5+	false
CPD-318	monodehydroascorbate radical	COCO[CH]1COCOCOO1	InChI1S/C6H7O6/c7-1-285-3941061112-5/h257-810H1H2/t2-5+/m0/s1	false
CPD0-2113	1-stearoyl-<i>sn</i>-glycerol 3-phosphate	CCCCCCCCCCCCCCCCCCOOCCOCOPO[O-][O-]	InChI1S/C21H43O7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-212327-18-202219-28-29242526/h2022H2-19H21H3H2242526/p-2/t20-/m1/s1	false
DEOXYXYLULOSE-5P	1-deoxy-D-xylulose 5-phosphate	CCOCOCOCOP[O-]O[O-]	InChI1S/C5H11O7P/c1-3658472-12-1391011/h4-57-8H2H21H3H291011/p-2/t4-5-/m1/s1	false
CPD-16551	&beta;-D-ribose 5-phosphate	COP[O-]O[O-]C1COCOCOO1	InChI1S/C5H11O8P/c6-3-21-12-149101113-58437/h2-8H1H2H291011/p-2/t2-3-4-5-/m1/s1	false
2-AMINOBENZOYL-COA	anthraniloyl-CoA	CCCCOCONCCCONCCSCC1CCCCC1NOCOPOOPOOCC2COP[O-]O[O-]COCO2N4C3CCNNCN3NC4[O-][O-]	InChI1S/C28H41N8O17P3S/c1-2822239254032-8-7-183731-9-10-57-274115-5-3-4-6-16152912-50-56474853-55454649-11-17-2152-5442434420382651-1736-14-35-19-233033-13-34-241936/h3-613-141720-222638-39H7-1229H21-2H3H3137H3240H4546H4748H2303334H2424344/p-4/t17-20-21-22+26-/m1/s1	false
2-KETO-GLUTARAMATE	2-oxoglutaramate	CCCNOCOCO[O-]	InChI1S/C5H7NO4/c6-482-1-375910/h1-2H2H268H910/p-1	false
CPD-8246	<i>S</i>-&beta;-bisabolene	CCCCCC[CH]1CCCCC1CCC	InChI1S/C15H24/c1-1226-5-7-14415-10-8-1339-11-15/h6815H4-579-11H21-3H3/t15-/m1/s1	false
12-OXO-TRANS-10-DODECENOATE	traumatin	[CH]CCCCCCCCCCCO[O-]O	InChI1S/C12H20O3/c13-11-9-7-5-3-1-2-4-6-8-10-121415/h7911H1-6810H2H1415/p-1/b9-7+	false
CPD-13571	zealexin A3	CC2CCOCC1CCCC[O-]OCC1CCC2	InChI1S/C15H22O3/c1-1529-3-4-1213151610-5-7-118-6-10141718/h47101316H35-68-9H21-2H3H1718/p-1	false
CPD-10512	16-oxo-palmitate	COCCCCCCCCCCCCCCCO[O-]	InChI1S/C16H30O3/c17-15-13-11-9-7-5-3-1-2-4-6-8-10-12-14-161819/h15H1-14H2H1819/p-1	false
CPD-9582	indole-3-acetyl-phenylalanine	C2CCCNCCC1CCCCC1CO[O-]OC3CCCCCN23	InChI1S/C19H18N2O3/c22-1811-14-12-20-16-9-5-4-8-15141621-1719232410-13-6-2-1-3-7-13/h1-9121720H10-11H2H2122H2324/p-1	false
N3-METHYLCYTOSINE	<i>N</i><sup>3</sup>-methylcytosine	C[N+]1CNCCCN1O	InChI1S/C5H7N3O/c1-8-462-3-7-589/h2-3H1H3H2679/p+1	false
112-DIAMINOOCTANE	112-diaminooctane	CCCCCCCCCCCC[N+][N+]	InChI1S/C12H28N2/c13-11-9-7-5-3-1-2-4-6-8-10-12-14/h1-14H2/p+2	false
CPD-7000	isobutanal	CCC[CH]O	InChI1S/C4H8O/c1-423-5/h3-4H1-2H3	false
CPD-463	L-nicotianamine	CCCC[N+]CCC[N+]1CCC1C[O-]OC[O-]O[N+][O-]O	InChI1S/C12H21N3O6/c13-71016171-4-14-81118192-5-15-6-3-915122021/h7-914H1-613H2H1617H1819H2021/t7-8-9-/m0/s1	false
7-HYDROXY-2-OXINDOLE-3-ACETIC-ACID-GLUCO	7-hydroxy-2-oxindole-3-acetate glucoside	COC1COCOCCO1OC3CCCC2CNCCCCO[O-]2O3O	InChI1S/C16H19NO9/c18-5-9-1221132214231626-925-8-3-1-2-6-74-101920152417-1168/h1-37912-14161821-23H4-5H2H1724H1920/p-1/t7?9-12-13+14-16-/m1/s1	false
CPD6666-1	oleamide	CCCCCCCCCCCCCCCCCCNO	InChI1S/C18H35NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-181920/h9-10H2-811-17H21H3H21920/b10-9-	false
AMMONIUM	ammonium	[NH4+]	InChI1S/H3N/h1H3/p+1	false
MESO-DIAMINOPIMELATE	<i>meso</i>-diaminopimelate	CCCCCCC[O-]O[N+][N+][O-]O	InChI1S/C7H14N2O4/c8-4610112-1-3-5971213/h4-5H1-38-9H2H1011H1213/t4-5+	false
CPD-634	castasterone	CCCCCCOCOCC[CH]3CC[CH]4[CH]2CCO[CH]1CCOCOCCC1[CH]2CCCC34	InChI1S/C28H48O5/c1-1421532532263316418-7-8-19-17-11-222921-12-2330243113-2821620179-10-2718195/h14-2123-2630-33H7-13H21-6H3/t15-16-17-18+19-20-21+23-24+25+26+27+28+/m0/s1	false
TOLUENECISDHDIOL	1S2R-3-methylcyclohexa-35-diene-12-diol	CC1CCCCCO1O	InChI1S/C7H10O2/c1-5-3-2-4-68759/h2-46-9H1H3/t6-7+/m0/s1	false
16-EPIVELLOSIMINE	16-epivellosimine	C[CH]C5CN1[CH]4C[CH][CH][CH]O[CH]1CC3CNC2CCCCC2345	InChI1S/C19H20N2O/c1-2-11-9-21-17-8-14-12-5-3-4-6-161220-191418217-1311151710-22/h2-610131517-1820H7-9H21H3/b11-2-/t13-15+17+18+/m1/s1	false
CARBAMOYL-SARCOSINE	<i>N</i>-carbamoylsarcosine	CNCCO[O-]CNO	InChI1S/C4H8N2O3/c1-64592-378/h2H21H3H259H78/p-1	false
ANTHRANILATE	anthranilate	CC1CCCCC1NO[O-]	InChI1S/C7H7NO2/c8-6-4-2-1-3-567910/h1-4H8H2H910/p-1	false
CPD-4564	biochanin A-7-<i>O</i>-glucoside-6''-malonate	COCOCCO[O-]C4OCOC1CCOC2COCCOCC12C3CCCCC3OCCOCOCO4	InChI1S/C25H24O13/c1-34-12-4-2-113-5-1214-9-35-16-7-136-1526201621143037-25-2433233222311738-2510-36-19298-182728/h2-791722-2631-33H810H21H3H2728/p-1/t17-22-23+24-25-/m1/s1	false
CPD-17627	1016-dihydroxypalmitoyl-CoA	CCCCOCONCCCONCCSCCCCCCCCCCCCCCCCOOOCOPOOPOOCC1COP[O-]O[O-]COCO1N3C2CCNNCN2NC3[O-][O-]	InChI1S/C37H66N7O19P3S/c1-3723250355140-17-16-274739-18-20-67-284815-11-6-4-3-5-9-13-254614-10-7-8-12-19-4522-60-66575863-65555659-21-26-3162-6452535430493661-2644-24-43-29-333841-23-42-342944/h23-2630-323645-4649-50H3-22H21-2H3H3947H4051H5556H5758H2384142H2525354/p-4/t25?26-30-31-32+36-/m1/s1	false
QUINATE	L-quinate	C[O-]OC1OCCOCOCOC1	InChI1S/C7H12O6/c8-3-1-713611122-495310/h3-58-1013H1-2H2H1112/p-1/t3-4-5-7+/m1/s1	false
UDP-GLUCURONATE	UDP-&alpha;-D-glucuronate	CC1OCCOCO1N2CCCONCO2OPO[O-]OPO[O-]OC3OCC[O-]OCOCOCO3	InChI1S/C15H22N2O18P2/c18-5-1-2-17152616-512-922619432-123-31-36272835-37293034-14-10237208211133-14132425/h1-246-121419-23H3H2H2425H2728H2930H161826/p-3/t4-6-7+8+9-10-11+12-14-/m1/s1	false
CPD-4568	14-hydroxylanosterol	CCCCCCC[CH]1C2CCCOCC1C4CCC2C3[CH]CCCCOCC3CC4CC	InChI1S/C30H50O2/c1-2029-8-10-21322-14-18-3019-3124-11-12-25-2745263215-16-28256232413-17-2922307/h921-2225-2631-32H810-19H21-7H3/t21-22-25+26+28-29-30-/m1/s1	false
RX	RX	[R]X	null	false
CPD-12865	4&alpha;-hydroxymethyl4&beta;14&alpha;-dimethyl-9&beta;19-cyclo-5&alpha;-ergost-2424<sup>1</sup>-en-3&beta;-ol	CCCCCCCCC[CH]3CCC4C[CH]1CC[CH]5CCOCCOCCC2CC12CCCC345	InChI1S/C31H52O2/c1-2022138-9-22423-12-14-29725-11-10-24-27519-32263313-15-302418-31253017-16-2823296/h2022-2632-33H38-19H21-24-7H3/t22-23-24+25+26+27+28-29+30?31?/m1/s1	false
CPD-9907	9&beta;-stemod-1317-ene	CC1CCC23[CH]CC1C2CC[CH]4CCCCCCC34C	InChI1S/C20H32/c1-14-8-11-20-13-151412-16206-7-17-18239-5-10-1917204/h15-17H15-13H22-4H3/t15-16-17-19-20+/m0/s1	false
2-DEHYDROPANTOATE	2-dehydropantoate	CCCOC[O-]OCOC	InChI1S/C6H10O4/c1-623-7485910/h7H3H21-2H3H910/p-1	false
CPD-7898	2-pentadecanone	CCCCCCCCCCCCCCOC	InChI1S/C15H30O/c1-3-4-5-6-7-8-9-10-11-12-13-14-15216/h3-14H21-2H3	false
CPD-1121	D-myo-inositol 12-cyclic phosphate	C2OCOC1OP[O-]OOC1COCO2	InChI1S/C6H11O8P/c7-1-284106-531913-15111214-6/h1-10HH1112/p-1/t1-2-3+4+5-6+/m0/s1	false
CPD-13094	12Z15Z-910-dihydroxyoctadeca-1215-dienoate	CCCCCCCCCOCOCCCCCCCCO[O-]	InChI1S/C18H32O4/c1-2-3-4-5-7-10-13-1619172014-11-8-6-9-12-15-182122/h3-471016-1719-20H25-68-911-15H21H3H2122/p-1/b4-3-10-7-	false
CDP-GROUP	CDP group	CC2CCCN1CNCCC1NOO2OOOPOP[O-]OO[O-]O	null	false
CPD-12379	eumelanin	null	null	false
